class	text	filename
O	IVKM verilmeden aksiyel planda	bt-report-098
OBS-P	1 mm	bt-report-098
OBS-P	kesit kalınlığında	bt-report-098
OBS-P	5 mm	bt-report-098
OBS-P	kesit aralıkları	bt-report-098
O	ile yüksek rezolüsyonlu aksiyel kesitler elde olunmuştur.	bt-report-098
ANAT	Her iki akciğerde	bt-report-098
ANAT	interstisiyel	bt-report-098
OBS-A	patern bulgusu	bt-report-098
O	saptanmadı.	bt-report-098
OBS-A	Bronşektazi	bt-report-098
O	izlenmemiştir.	bt-report-098
OBS-A	Belirgin	bt-report-098
OBS-A	pnömonik konsolidasyon alanı	bt-report-098
O	izlenmemektedir.	bt-report-098
OBS-P	Kardiyomegali	bt-report-098
O	gözlenen hastada	bt-report-098
OBS-P	PACE kateteri	bt-report-098
ANAT	her iki hemitoraksta	bt-report-098
O	öncelikle	bt-report-098
OBS-U	kardiyojenik geliştiği düşünülen	bt-report-098
ANAT	sağda	bt-report-098
OBS-P	5.5 cm	bt-report-098
ANAT	solda	bt-report-098
O	ise	bt-report-098
ANAT	bazalde	bt-report-098
OBS-P	3.5 cm	bt-report-098
OBS-P	düzeyinde	bt-report-098
OBS-P	orta derecede	bt-report-098
ANAT	plevral	bt-report-098
OBS-P	effüzyonlar	bt-report-098
O	gözlenmektedir.	bt-report-098
ANAT	Her iki akciğerde	bt-report-098
OBS-P	effüzyona komşu	bt-report-098
ANAT	alt loblarda	bt-report-098
ANAT	sağ orta lobda	bt-report-098
O	izlenen	bt-report-098
ANAT	subsegmenter	bt-report-098
OBS-P	atelektaziler	bt-report-098
O	gözlendi.	bt-report-098
ANAT	Akciğerlerde	bt-report-098
OBS-P	2 mm boyutu geçmeyen	bt-report-098
OBS-P	birkaç	bt-report-098
OBS-P	milimetrik	bt-report-098
OBS-P	sekel	bt-report-098
OBS-P	nodül	bt-report-098
O	mevcuttur.	bt-report-098
O	SONUÇ:	bt-report-098
ANAT	İnterstisiyel	bt-report-098
OBS-A	patern	bt-report-098
O	saptanmadı.	bt-report-098
OBS-P	Kardiyomegali	bt-report-098
OBS-P	PACE kateteri	bt-report-098
ANAT	Bilateral	bt-report-098
OBS-U	kardiyojenik	bt-report-098
ANAT	plevral	bt-report-098
OBS-P	effüzyonlar	bt-report-098
ANAT	Akciğerlerde	bt-report-098
OBS-P	atelektazik değişiklikler	bt-report-098
OBS-P	milimetrik	bt-report-098
OBS-P	sekel izlenimli	bt-report-098
OBS-P	nodüller	bt-report-098
